,Team,Year,PctWin,ph_3Ppct,ph_2Ppct,ph_FTpct,ph_AST,ph_STL,ph_BLK,ph_TOV,ph_PF,ph_shotmisspct,PC1,PC2,PC3,PC4,PC5,PC6
0,Los Angeles Clippers,2014,69.51219512195121,0.35200000000000004,0.525,0.73,25.5,8.9,5.0,14.4,22.4,0.4594127806563039,1.2563930888783514,-1.5228992575677132,-1.0562171144564647,-0.1368043624810476,0.4922204313441705,0.5826426539829187
1,Houston Rockets,2014,65.85365853658537,0.358,0.529,0.7120000000000001,22.1,7.8,5.8,16.6,21.1,0.4608695652173913,0.47956035084417803,-1.7511280945276422,0.2871869013096393,0.8940598172763092,0.32330258752646934,2.2563980008797206
2,Minnesota Timberwolves,2014,48.78048780487805,0.341,0.478,0.778,24.4,8.9,3.7,14.2,18.7,0.4749362786745964,0.07272966096370728,1.03237112740321,-1.7859155434423923,-0.7258016037022115,0.3621913209772425,-1.5716801864949157
3,Portland Trail Blazers,2014,65.85365853658537,0.37200000000000005,0.48100000000000004,0.815,24.3,5.8,4.9,14.3,20.1,0.47227036395147315,1.0858977365213938,2.532369946951209,1.7557436901118866,-0.4463180178089877,-1.2773197615131928,-0.05851977378090151
4,Oklahoma City Thunder,2014,71.95121951219512,0.361,0.512,0.8059999999999999,22.8,8.6,6.4,15.9,23.6,0.4509803921568627,1.5349192937846619,-1.9179768862839897,2.26913053215269,-1.251387788550527,1.0709463763149563,0.1793410791356797
5,San Antonio Spurs,2014,75.60975609756098,0.397,0.517,0.785,26.4,7.7,5.4,15.1,19.1,0.45622119815668205,3.4473427104932206,0.20722367839252742,0.35128469985173744,0.4676056794074135,-1.2265878091635813,0.02762894463157095
6,Phoenix Suns,2014,58.536585365853654,0.37200000000000005,0.503,0.758,19.8,8.7,4.7,16.0,22.8,0.46969696969696967,-0.3982662676396859,-1.370956871169792,0.3200991744201736,-1.426231883071197,-0.02440904476798006,1.2273104183229107
7,Dallas Mavericks,2014,59.756097560975604,0.384,0.508,0.795,25.0,9.1,4.6,14.4,21.2,0.46174617461746176,2.268276547614385,-0.42165190375000067,-0.4531814446884135,-1.2057257516067543,-0.42931787618713324,-0.6772537878189463
8,Denver Nuggets,2014,43.90243902439025,0.358,0.48100000000000004,0.726,22.8,7.6,5.7,16.2,23.4,0.4872695346795435,-1.372843995853819,-1.3926522369428151,1.2481191069008526,0.6261122128633122,-0.7830706193115698,0.6336681973653295
9,Golden State Warriors,2014,62.19512195121951,0.38,0.496,0.753,24.0,8.1,5.1,15.7,22.4,0.48043676069153773,0.3563640970637619,-1.0117532646255194,0.4591201939422219,-0.036108389106349684,-1.2872230501618476,0.22390111987892813
10,Los Angeles Lakers,2014,32.926829268292686,0.381,0.478,0.757,24.8,7.5,5.5,15.3,20.1,0.48621323529411764,0.4982093332159688,0.30252741326748833,0.7028285507530545,1.1939643043537669,-1.4288296468802688,-0.4707469179867051
11,Miami Heat,2014,65.85365853658537,0.364,0.5579999999999999,0.76,24.4,9.7,4.9,16.0,21.1,0.4392956441149213,2.9444931080074968,-2.5158583968655464,-1.226263966710025,-1.0757950733268,0.9253663418638658,1.0595195156625596
12,Toronto Raptors,2014,58.536585365853654,0.37200000000000005,0.475,0.782,22.7,7.6,4.5,15.2,24.6,0.4751958224543081,-0.5603503925876252,-0.41626404939684614,1.3528763317163666,-1.8407828330563671,-1.3204227011261043,0.14895660058436078
13,Detroit Pistons,2014,35.36585365853659,0.321,0.483,0.67,21.9,8.8,5.0,15.2,21.3,0.5021168501270109,-3.0649245504796188,-1.2014712944756585,-1.5796956101092239,1.6318313934211255,0.8655109747089117,0.44975349786432245
14,Atlanta Hawks,2014,46.34146341463415,0.363,0.502,0.7809999999999999,26.1,8.7,4.2,16.0,20.2,0.47460757156048006,1.1507916067214525,-0.6118717332663393,-0.8964120681584397,-0.5863954681922133,-0.986230066684304,-1.0866373786373862
15,Washington Wizards,2014,53.65853658536586,0.38,0.485,0.731,24.5,8.6,4.8,15.5,21.5,0.48646209386281586,-0.021423246658296924,-0.9944538433580088,-0.5168392021349443,0.5316976505437135,-1.468637420937601,-0.25283654589145055
16,Sacramento Kings,2014,34.146341463414636,0.33299999999999996,0.479,0.759,19.8,7.5,4.1,16.0,23.7,0.47532467532467537,-2.392239405816147,-0.416742550175826,0.7006251218569264,-1.9587535162758132,0.11933291555548313,1.0329558740231992
17,New Orleans Pelicans,2014,41.46341463414634,0.373,0.479,0.769,22.9,8.5,6.9,14.8,24.4,0.47239263803680975,0.2624205619880292,-1.6087993730644914,2.4906200582337132,0.12669899171534046,0.3664100798287,-0.22616717569180267
18,Philadelphia 76ers,2014,23.170731707317074,0.312,0.47700000000000004,0.71,21.8,9.3,4.0,16.9,22.5,0.5072332730560578,-3.783982428092779,-1.9768401738457702,-1.5387914653166326,-0.22064548213425872,0.30905758013939194,-0.5058631059218328
19,New York Knicks,2014,45.1219512195122,0.37200000000000005,0.48200000000000004,0.7609999999999999,22.0,8.5,4.9,14.2,24.3,0.48934280639431615,-0.8823170930905224,-0.6188787488189939,0.5492745372471173,-1.0004635127227006,-0.48890043962287544,0.03569227436596445
20,Brooklyn Nets,2014,53.65853658536586,0.369,0.49700000000000005,0.753,22.6,9.3,4.1,15.7,23.5,0.47111913357400725,-0.20385455964025806,-1.8056142000752444,-0.6262899758022311,-1.6776532214207123,-0.6110975228523701,0.19719553348037447
21,Cleveland Cavaliers,2014,40.243902439024396,0.35600000000000004,0.461,0.7509999999999999,22.5,7.5,3.9,15.0,21.2,0.4969325153374233,-1.8735308664796593,0.9130925077701753,-0.31117817921665575,-0.3578931638690642,-1.2748457786402676,-0.35031793859531646
22,Charlotte Bobcats,2014,52.4390243902439,0.35100000000000003,0.46799999999999997,0.737,23.2,6.5,5.5,13.2,19.5,0.4907813871817384,-0.8667708205723237,2.2361430095317,0.49055005337147867,1.7051555063815995,-0.05762001153588189,0.16976743425418533
23,Indiana Pacers,2014,68.29268292682927,0.35700000000000004,0.47700000000000004,0.779,21.7,7.2,5.9,16.2,22.0,0.4766187050359712,-0.6371299276231114,-0.2677508752068714,2.2458890821327535,-0.08135772724622226,-0.1402966340940925,0.23908102839986006
24,Orlando Magic,2014,28.04878048780488,0.353,0.474,0.763,22.2,8.1,4.5,15.7,21.6,0.49037580201649866,-1.3867819622240791,-0.13486102782963283,0.13628841317153928,-0.52533266599018,-0.5435184519711308,-0.39110733455893787
25,Boston Celtics,2014,30.48780487804878,0.33299999999999996,0.47,0.777,22.5,7.6,4.5,16.4,22.7,0.4959785522788204,-2.234089497403212,-0.2844185629510727,0.8229628841757535,-0.9390457113822399,-0.495371995335422,-0.641519887718931
26,Memphis Grizzlies,2014,60.97560975609756,0.353,0.48700000000000004,0.741,24.2,8.5,5.1,15.2,21.1,0.480565371024735,-0.2627338769055625,-0.6767938790608825,-0.3303900035020799,0.4716238519738683,-0.11410175617769404,-0.3971200216542958
27,Milwaukee Bucks,2014,18.29268292682927,0.353,0.46399999999999997,0.747,23.2,7.1,5.3,16.3,22.5,0.49556737588652483,-1.8133042080728132,-0.37427063354405216,1.3842675322299085,0.4945040662982711,-1.23867645471637,-0.14812200228295733
28,Utah Jazz,2014,30.48780487804878,0.344,0.474,0.747,22.1,7.6,4.9,15.9,22.6,0.49108734402852044,-1.946725245899704,-0.44718146616080456,0.7025657852351344,-0.1762584850280301,-0.4454863827489836,0.13496685543496312
29,Chicago Bulls,2014,58.536585365853654,0.348,0.456,0.779,24.8,7.9,5.7,16.3,20.9,0.48984995586937335,-0.8243821943117597,-0.3232536292144066,1.3714641451552594,0.658469949653351,-0.5752426891891594,-1.7791737757530395
30,Golden State Warriors,2015,81.70731707317073,0.39799999999999996,0.514,0.768,27.8,9.4,6.1,14.7,20.2,0.4657534246575342,3.4551297225910806,-1.362218912579124,-0.1725829001771006,1.1441923555896496,-0.6844863470932263,-1.1423293307656106
31,Los Angeles Clippers,2015,68.29268292682927,0.376,0.519,0.71,26.1,8.2,5.3,13.0,22.5,0.4711033274956217,1.4631041618680032,-0.5800502152737103,-0.8906177366825081,0.9305119989497783,-0.4647454181927671,0.941668681571563
32,Dallas Mavericks,2015,60.97560975609756,0.35200000000000004,0.509,0.752,23.4,8.4,4.7,13.5,20.9,0.4773735581188997,0.3436928168435276,0.3785389899098722,-0.9901492276833445,-0.14616391515427027,0.6557382808133293,0.24754518395195985
33,Toronto Raptors,2015,59.756097560975604,0.35200000000000004,0.499,0.787,22.1,8.0,4.6,13.8,22.3,0.4691572545612511,0.14059750956063613,0.5354216227003366,0.245395259204333,-1.5272416113495384,0.6473669481975219,0.2898706027148744
34,Oklahoma City Thunder,2015,54.87804878048781,0.33899999999999997,0.486,0.754,21.3,7.6,5.7,15.2,23.1,0.483982683982684,-1.514583387485208,-0.49289383771255363,1.3624551932722417,-0.10950158256544615,0.696573418011403,0.5744672244870905
35,Houston Rockets,2015,68.29268292682927,0.348,0.506,0.715,22.8,9.8,5.1,17.1,22.6,0.49200710479573706,-1.3021000886093885,-3.1282017186199282,-0.9134950216203301,0.3116083727603409,0.08472370684466621,0.03128997329344099
36,San Antonio Spurs,2015,67.07317073170732,0.36700000000000005,0.505,0.78,25.7,8.4,5.7,14.7,20.1,0.46920289855072467,1.8817105929457125,-0.20751132101427494,0.2493458803827202,0.5061163505768753,0.0980763061939559,-0.7443011470503768
37,Cleveland Cavaliers,2015,64.63414634146342,0.36700000000000005,0.504,0.7509999999999999,23.8,7.9,4.5,15.4,19.8,0.4763157894736842,0.5506970071662164,0.10160726547692231,-0.6741585343773461,0.1639498380622061,-0.7513966560419658,0.3675049225950576
38,Portland Trail Blazers,2015,62.19512195121951,0.36200000000000004,0.491,0.8009999999999999,23.1,6.7,4.8,14.3,19.2,0.4855595667870037,0.4099917438252757,2.2131582053842176,0.6574165114016111,-0.0700416213931365,-0.44006746651692874,-0.158294321017932
39,Atlanta Hawks,2015,73.17073170731707,0.38,0.506,0.778,27.3,9.6,4.9,15.1,18.9,0.46978021978021983,2.603472945116709,-0.7461069675968344,-1.2971406008960693,0.3657584408247613,-0.5962840577940577,-1.7004175118098923
40,Phoenix Suns,2015,47.5609756097561,0.341,0.49700000000000005,0.76,20.8,8.8,4.8,15.5,21.9,0.4877828054298643,-1.3668059800230867,-0.7899272924645308,-0.20859386404421534,-0.7281062511744083,0.8580892714118652,0.12924500585162038
41,Denver Nuggets,2015,36.58536585365854,0.325,0.47600000000000003,0.7340000000000001,22.5,8.1,4.6,14.6,23.6,0.5013054830287207,-2.738323516362073,-0.3892844073438838,-0.23177366802188362,-0.31136313510254066,0.29996462309748273,-0.1912067003689637
42,Boston Celtics,2015,48.78048780487805,0.327,0.488,0.754,25.3,8.5,3.7,14.3,21.9,0.49865951742627346,-1.3949182453131723,0.14418970245512086,-1.6462414379955723,-0.6243922424015642,-0.15214518668883764,-1.173560047488468
43,Sacramento Kings,2015,35.36585365853659,0.341,0.484,0.762,21.1,7.0,4.1,16.9,21.5,0.46281714785651795,-1.2004618477075857,-0.10646741906731189,0.6668386116279199,-1.3873479910385251,-0.46507300245202543,1.1111677077389497
