,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,W,Age,ORtg,DRtg,Pace,ph_FG,ph_FGA,ph_FGpct,ph_3P,ph_3Ppct,ph_2P,ph_2PA,ph_2Ppct,ph_FT,ph_FTA,ph_FTpct,ph_ORB,ph_DRB,ph_TRB,ph_AST,ph_STL,ph_BLK,ph_TOV,ph_PF,Year,PctWin,ph_shotmisspct,Shots,3PA/Shots
0,Los Angeles Clippers,82,240.9,39.1,82.5,0.474,8.5,24.0,35.2,30.7,58.5,52.5,21.2,29.1,0.73,10.5,32.5,43.0,24.6,8.6,4.8,13.9,21.5,107.9,57.0,28.1,112.1,104.8,95.9,40.6,85.6,0.474,8.8,0.35200000000000004,31.8,60.7,0.525,22.0,30.2,0.73,10.9,33.8,44.6,25.5,8.9,5.0,14.4,22.4,2014,69.51219512195121,0.4594127806563039,82.5,29.09090909090909
1,Houston Rockets,82,241.8,38.0,80.5,0.47200000000000003,9.5,26.6,35.8,28.5,54.0,52.900000000000006,22.1,31.1,0.7120000000000001,11.2,34.1,45.3,21.4,7.6,5.6,16.1,20.4,107.7,54.0,25.4,111.0,106.3,96.3,39.2,83.0,0.47200000000000003,9.8,0.358,29.4,55.6,0.529,22.8,32.0,0.7120000000000001,11.6,35.1,46.7,22.1,7.8,5.8,16.6,21.1,2014,65.85365853658537,0.4608695652173913,80.6,33.00248138957817
2,Minnesota Timberwolves,82,242.1,38.9,87.5,0.444,7.3,21.4,34.1,31.6,66.1,47.8,21.8,28.1,0.778,12.5,32.2,44.7,23.9,8.8,3.6,13.9,18.3,106.9,40.0,26.3,108.9,106.2,97.3,39.6,89.1,0.444,7.5,0.341,32.2,67.3,0.478,22.2,28.6,0.778,12.7,32.8,45.6,24.4,8.9,3.7,14.2,18.7,2014,48.78048780487805,0.4749362786745964,87.5,24.457142857142856
3,Portland Trail Blazers,82,242.1,39.1,87.0,0.45,9.4,25.3,37.2,29.7,61.7,48.1,19.1,23.5,0.815,12.5,34.0,46.4,23.2,5.5,4.7,13.7,19.2,106.7,54.0,25.8,111.5,107.4,94.9,40.9,90.9,0.45,9.8,0.37200000000000005,31.1,64.5,0.48100000000000004,20.0,24.5,0.815,13.0,35.5,48.5,24.3,5.8,4.9,14.3,20.1,2014,65.85365853658537,0.47227036395147315,87.0,29.080459770114942
4,Oklahoma City Thunder,82,241.5,39.0,82.7,0.47100000000000003,8.1,22.4,36.1,30.9,60.3,51.2,20.2,25.0,0.8059999999999999,10.8,33.9,44.7,21.9,8.3,6.1,15.3,22.7,106.2,59.0,26.2,110.5,103.9,95.4,40.6,86.1,0.47100000000000003,8.4,0.361,32.1,62.8,0.512,21.0,26.1,0.8059999999999999,11.3,35.3,46.6,22.8,8.6,6.4,15.9,23.6,2014,71.95121951219512,0.4509803921568627,82.69999999999999,27.08585247883918
5,San Antonio Spurs,82,240.9,40.6,83.5,0.486,8.5,21.4,39.7,32.0,62.0,51.7,15.7,20.0,0.785,9.3,34.0,43.3,25.2,7.4,5.1,14.4,18.2,105.4,62.0,28.9,110.5,102.4,95.0,42.5,87.5,0.486,8.9,0.397,33.6,65.1,0.517,16.5,21.0,0.785,9.7,35.6,45.4,26.4,7.7,5.4,15.1,19.1,2014,75.60975609756098,0.45622119815668205,83.4,25.659472422062347
6,Phoenix Suns,82,240.9,38.7,83.5,0.46299999999999997,9.3,25.1,37.2,29.4,58.4,50.3,18.5,24.4,0.758,11.3,31.7,43.0,19.1,8.4,4.6,15.3,21.9,105.2,48.0,26.2,109.5,106.7,95.8,40.2,86.8,0.46299999999999997,9.7,0.37200000000000005,30.5,60.8,0.503,19.3,25.4,0.758,11.8,33.0,44.8,19.8,8.7,4.7,16.0,22.8,2014,58.536585365853654,0.46969696969696967,83.5,30.059880239520957
7,Dallas Mavericks,82,241.8,39.6,83.6,0.474,8.8,22.9,38.4,30.8,60.7,50.8,16.8,21.1,0.795,10.2,30.7,40.9,23.6,8.6,4.3,13.5,20.0,104.8,49.0,30.6,111.2,108.7,93.5,42.0,88.7,0.474,9.3,0.384,32.7,64.4,0.508,17.8,22.4,0.795,10.9,32.5,43.4,25.0,9.1,4.6,14.4,21.2,2014,59.756097560975604,0.46174617461746176,83.6,27.392344497607656
8,Denver Nuggets,82,240.9,38.4,85.9,0.447,8.6,23.9,35.8,29.8,62.0,48.1,19.1,26.3,0.726,12.3,33.1,45.4,22.4,7.5,5.6,15.9,23.0,104.4,36.0,26.0,106.0,108.2,98.1,39.0,87.2,0.447,8.7,0.358,30.3,63.0,0.48100000000000004,19.4,26.7,0.726,12.5,33.7,46.2,22.8,7.6,5.7,16.2,23.4,2014,43.90243902439025,0.4872695346795435,85.9,27.823050058207215
9,Golden State Warriors,82,241.8,39.5,85.4,0.462,9.4,24.8,38.0,30.0,60.6,49.6,15.9,21.1,0.753,10.9,34.4,45.3,23.3,7.8,5.0,15.2,21.8,104.3,51.0,26.3,107.5,102.6,96.2,40.7,88.1,0.462,9.7,0.38,31.0,62.5,0.496,16.4,21.8,0.753,11.3,35.5,46.7,24.0,8.1,5.1,15.7,22.4,2014,62.19512195121951,0.48043676069153773,85.4,29.039812646370024
